org_id,label,classification
3760,LIBE,COMMITTEE_PARLIAMENTARY_STANDING
3761,AFCO,COMMITTEE_PARLIAMENTARY_STANDING
3762,FEMM,COMMITTEE_PARLIAMENTARY_STANDING
3763,PETI,COMMITTEE_PARLIAMENTARY_STANDING
38,C01,COMMITTEE_PARLIAMENTARY_STANDING
39,C02,COMMITTEE_PARLIAMENTARY_STANDING
3946,AFET,COMMITTEE_PARLIAMENTARY_STANDING
3947,DEVE,COMMITTEE_PARLIAMENTARY_STANDING
3948,INTA,COMMITTEE_PARLIAMENTARY_STANDING
3949,BUDG,COMMITTEE_PARLIAMENTARY_STANDING
3950,CONT,COMMITTEE_PARLIAMENTARY_STANDING
3951,ECON,COMMITTEE_PARLIAMENTARY_STANDING
3952,EMPL,COMMITTEE_PARLIAMENTARY_STANDING
3953,ENVI,COMMITTEE_PARLIAMENTARY_STANDING
3954,ITRE,COMMITTEE_PARLIAMENTARY_STANDING
3955,IMCO,COMMITTEE_PARLIAMENTARY_STANDING
3956,TRAN,COMMITTEE_PARLIAMENTARY_STANDING
3957,REGI,COMMITTEE_PARLIAMENTARY_STANDING
3958,AGRI,COMMITTEE_PARLIAMENTARY_STANDING
3959,PECH,COMMITTEE_PARLIAMENTARY_STANDING
3960,CULT,COMMITTEE_PARLIAMENTARY_STANDING
3961,JURI,COMMITTEE_PARLIAMENTARY_STANDING
3962,LIBE,COMMITTEE_PARLIAMENTARY_STANDING
3963,AFCO,COMMITTEE_PARLIAMENTARY_STANDING
3964,FEMM,COMMITTEE_PARLIAMENTARY_STANDING
3965,PETI,COMMITTEE_PARLIAMENTARY_STANDING
4,POLI,COMMITTEE_PARLIAMENTARY_STANDING
40,C03,COMMITTEE_PARLIAMENTARY_STANDING
41,C04,COMMITTEE_PARLIAMENTARY_STANDING
42,C05,COMMITTEE_PARLIAMENTARY_STANDING
43,C06,COMMITTEE_PARLIAMENTARY_STANDING
44,C07,COMMITTEE_PARLIAMENTARY_STANDING
45,C08,COMMITTEE_PARLIAMENTARY_STANDING
46,C09,COMMITTEE_PARLIAMENTARY_STANDING
47,C10,COMMITTEE_PARLIAMENTARY_STANDING
48,C11,COMMITTEE_PARLIAMENTARY_STANDING
49,C12,COMMITTEE_PARLIAMENTARY_STANDING
4957,AFET,COMMITTEE_PARLIAMENTARY_STANDING
4958,DEVE,COMMITTEE_PARLIAMENTARY_STANDING
4959,INTA,COMMITTEE_PARLIAMENTARY_STANDING
4960,BUDG,COMMITTEE_PARLIAMENTARY_STANDING
4961,CONT,COMMITTEE_PARLIAMENTARY_STANDING
4962,ECON,COMMITTEE_PARLIAMENTARY_STANDING
4963,EMPL,COMMITTEE_PARLIAMENTARY_STANDING
4964,ENVI,COMMITTEE_PARLIAMENTARY_STANDING
4965,ITRE,COMMITTEE_PARLIAMENTARY_STANDING
4966,IMCO,COMMITTEE_PARLIAMENTARY_STANDING
4967,TRAN,COMMITTEE_PARLIAMENTARY_STANDING
4968,REGI,COMMITTEE_PARLIAMENTARY_STANDING
4969,AGRI,COMMITTEE_PARLIAMENTARY_STANDING
4970,PECH,COMMITTEE_PARLIAMENTARY_STANDING
4971,CULT,COMMITTEE_PARLIAMENTARY_STANDING
4972,JURI,COMMITTEE_PARLIAMENTARY_STANDING
4973,LIBE,COMMITTEE_PARLIAMENTARY_STANDING
4974,AFCO,COMMITTEE_PARLIAMENTARY_STANDING
4975,FEMM,COMMITTEE_PARLIAMENTARY_STANDING
4976,PETI,COMMITTEE_PARLIAMENTARY_STANDING
5,AGRI,COMMITTEE_PARLIAMENTARY_STANDING
50,C13,COMMITTEE_PARLIAMENTARY_STANDING
5081,AFET,COMMITTEE_PARLIAMENTARY_STANDING
5082,DEVE,COMMITTEE_PARLIAMENTARY_STANDING
5083,INTA,COMMITTEE_PARLIAMENTARY_STANDING
5084,BUDG,COMMITTEE_PARLIAMENTARY_STANDING
5085,CONT,COMMITTEE_PARLIAMENTARY_STANDING
5086,ECON,COMMITTEE_PARLIAMENTARY_STANDING
5087,EMPL,COMMITTEE_PARLIAMENTARY_STANDING
5088,ENVI,COMMITTEE_PARLIAMENTARY_STANDING
5089,ITRE,COMMITTEE_PARLIAMENTARY_STANDING
5090,IMCO,COMMITTEE_PARLIAMENTARY_STANDING
5091,TRAN,COMMITTEE_PARLIAMENTARY_STANDING
5092,REGI,COMMITTEE_PARLIAMENTARY_STANDING
5093,AGRI,COMMITTEE_PARLIAMENTARY_STANDING
5094,PECH,COMMITTEE_PARLIAMENTARY_STANDING
5095,CULT,COMMITTEE_PARLIAMENTARY_STANDING
5096,JURI,COMMITTEE_PARLIAMENTARY_STANDING
5097,LIBE,COMMITTEE_PARLIAMENTARY_STANDING
5098,AFCO,COMMITTEE_PARLIAMENTARY_STANDING
5099,FEMM,COMMITTEE_PARLIAMENTARY_STANDING
51,C14,COMMITTEE_PARLIAMENTARY_STANDING
5100,PETI,COMMITTEE_PARLIAMENTARY_STANDING
52,C15,COMMITTEE_PARLIAMENTARY_STANDING
53,C16,COMMITTEE_PARLIAMENTARY_STANDING
54,C17,COMMITTEE_PARLIAMENTARY_STANDING
55,C18,COMMITTEE_PARLIAMENTARY_STANDING
56,C01,COMMITTEE_PARLIAMENTARY_STANDING
57,C02,COMMITTEE_PARLIAMENTARY_STANDING
58,C03,COMMITTEE_PARLIAMENTARY_STANDING
